date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:36	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:35%20GMT	https://codingwithprajwal.com/frontend/img/bg-img/mega-slide-1.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/bg-img/mega-slide-1.jpg	(from https://codingwithprajwal.com/)
14:49:36	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:36%20GMT	https://codingwithprajwal.com/blog-with-left-sidebar.html	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/blog-with-left-sidebar.html	(from https://codingwithprajwal.com/)
14:49:37	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:36%20GMT	https://codingwithprajwal.com/blog-with-right-sidebar.html	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/blog-with-right-sidebar.html	(from https://codingwithprajwal.com/)
14:49:37	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:37%20GMT	https://codingwithprajwal.com/blog-with-no-sidebar.html	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/blog-with-no-sidebar.html	(from https://codingwithprajwal.com/)
14:49:37	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:37%20GMT	https://codingwithprajwal.com/single-blog.html	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/single-blog.html	(from https://codingwithprajwal.com/)
14:49:38	37402/37402	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:37%20GMT	https://codingwithprajwal.com/%c3%a7ontact-us	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/%c3%a7ontact-us.html	(from https://codingwithprajwal.com/)
14:49:38	37641/37641	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:38%20GMT	https://codingwithprajwal.com/wishlist	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/wishlist.html	(from https://codingwithprajwal.com/)
14:49:39	39092/39092	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:39%20GMT	https://codingwithprajwal.com/compare	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/compare.html	(from https://codingwithprajwal.com/)
14:49:39	39048/39048	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:39%20GMT	https://codingwithprajwal.com/cart	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/cart.html	(from https://codingwithprajwal.com/)
14:49:40	402/402	---M-Z	302	error ('Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:39%20GMT	https://codingwithprajwal.com/checkout1	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/checkout1	(from https://codingwithprajwal.com/)
